,household_key,coef,ascending
224,888,[ 0.         -0.13806284  0.00026213],1
225,111,[ 0.00000000e+00 -4.29931964e-02  1.21769688e-05],1
226,2356,[ 0.         -0.12545563  0.00014518],1
227,2417,[ 0.00000000e+00 -6.94984865e-02  5.45906108e-05],1
228,996,[ 0.          0.09589348 -0.00014052],1
229,1569,[ 0.00000000e+00  5.59536637e-02 -6.61085656e-05],1
230,884,[0.00000000e+00 6.47813743e-03 4.61685136e-06],1
231,1886,[ 0.00000000e+00  5.88794123e-02 -7.96346866e-05],1
232,1421,[ 0.00000000e+00  2.48109362e-02 -1.99928295e-05],1
233,1128,[ 0.00000000e+00 -4.70626221e-02  7.11560925e-05],1
234,700,[ 0.00000000e+00  3.13111114e-01 -2.85422873e-04],1
235,629,[ 0.00000000e+00 -5.68192663e-02  4.17186902e-05],1
236,2297,[ 0.00000000e+00  2.10533689e-02 -2.08136441e-05],1
237,1767,[ 0.00000000e+00 -8.44135238e-03  7.11950635e-05],1
238,1827,[ 0.00000000e+00  1.59236401e-02 -4.10354973e-06],1
239,51,[0.00000000e+00 3.63634766e-02 9.53571496e-06],1
240,46,[ 0.00000000e+00  4.81981827e-02 -5.62960598e-05],1
241,659,[ 0.00000000e+00  1.56265663e-01 -1.55127637e-04],1
242,308,[ 0.00000000e+00 -3.01176068e-02  6.34626204e-05],1
243,2124,[ 0.00000000e+00  1.95772269e-02 -7.89774753e-06],1
244,2231,[ 0.00000000e+00 -3.71306915e-02  9.14166171e-05],1
245,1559,[ 0.00000000e+00 -5.96344696e-02  5.31594674e-05],1
246,1677,[ 0.00000000e+00  1.60455167e-01 -1.45701277e-04],1
247,1955,[ 0.00000000e+00  2.63448694e-02 -3.20165715e-05],1
248,1576,[ 0.         -0.10546756  0.00015775],1
249,2051,[ 0.          0.12596934 -0.00040298],1
250,1579,[ 0.00000000e+00  6.21248425e-02 -7.11241692e-05],1
251,560,[ 0.00000000e+00 -6.30588147e-02  9.75004011e-05],1
252,2143,[ 0.          0.51760439 -0.00072379],1
253,1818,[ 0.         -0.14438651  0.00015609],1
254,1390,[ 0.00000000e+00  5.62532737e-02 -8.14230580e-05],1
255,1136,[ 0.00000000e+00 -1.05734367e-01  7.37310059e-05],1
256,1001,[ 0.          0.18202914 -0.00020309],1
257,1710,[ 0.          0.01694984 -0.00011202],1
258,2414,[ 0.          0.28073261 -0.00041991],1
259,886,[ 0.         -0.13216133  0.00016677],1
260,2429,[0.00000000e+00 5.64205785e-03 8.15982897e-05],1
261,1163,[ 0.00000000e+00 -4.39665422e-03  1.76567508e-05],1
262,2028,[ 0.00000000e+00 -5.20477090e-03 -1.16767414e-05],1
263,226,[ 0.          0.17762195 -0.00023941],1
264,2048,[ 0.00000000e+00  2.68908765e-01 -2.49088714e-04],1
265,1707,[ 0.00000000e+00 -2.31522595e-02  1.45377755e-05],1
266,1833,[ 0.         -0.3444109   0.00036422],1
267,2406,[ 0.00000000e+00 -3.69609764e-02  7.09123248e-05],1
268,708,[ 0.         -0.05325088  0.00010287],1
269,905,[ 0.         -0.1542163   0.00018068],1
270,646,[ 0.         -0.24340424  0.00039599],1
271,2399,[ 0.00000000e+00 -6.72878475e-02  8.26398413e-05],1
272,1967,[ 0.00000000e+00 -2.91639770e-02  6.24280797e-05],1
273,1553,[ 0.00000000e+00  3.77525105e-02 -2.30614533e-05],1
274,2458,[ 0.00000000e+00  5.73968651e-02 -5.43223368e-05],1
275,281,[ 0.00000000e+00 -5.21083816e-03  9.46124800e-06],1
276,773,[ 0.         -0.26068322  0.00035223],1
277,85,[ 0.00000000e+00  6.78724275e-02 -7.76972466e-05],1
278,2050,[ 0.00000000e+00  4.92002698e-02 -9.07861446e-05],1
279,1266,[ 0.00000000e+00  2.54194552e-02 -3.22851960e-05],1
280,1769,[ 0.         -0.11175683  0.00016542],1
281,1353,[ 0.00000000e+00  3.26147656e-02 -1.31193871e-05],1
282,1492,[ 0.00000000e+00  1.10590257e-02 -1.79608201e-05],1
283,1388,[ 0.         -0.08557449  0.00014529],1
284,2002,[ 0.         -0.22493912  0.00038896],1
285,1309,[ 0.         -0.27956895  0.00047094],1
286,254,[ 0.00000000e+00 -2.70083069e-03  1.79958490e-05],1
287,273,[ 0.         -0.15298718  0.00018588],1
288,1856,[ 0.00000000e+00 -2.87191896e-03  3.50474429e-06],1
289,410,[ 0.00000000e+00 -1.49533016e-02  9.85482916e-06],1
290,2331,[ 0.00000000e+00 -3.91046884e-02  5.90135086e-05],1
291,1760,[ 0.00000000e+00 -2.23608776e-01  2.14862509e-04],1
292,655,[ 0.00000000e+00  5.17307939e-02 -4.99694451e-05],1
293,1144,[ 0.00000000e+00  4.78348325e-02 -5.11458337e-05],1
294,2207,[ 0.          0.14756844 -0.00017681],1
295,784,[0.00000000e+00 4.96701717e-03 9.16000038e-06],1
296,1939,[ 0.         -0.26756985  0.00037024],1
297,1263,[ 0.          0.30719688 -0.0004393 ],1
298,2493,[ 0.          0.06490781 -0.00017969],1
299,613,[ 0.         -0.19188132  0.00029077],1
300,951,[ 0.         -0.33480455  0.00041192],1
301,679,[ 0.         -0.13071558  0.00013824],1
302,142,[ 0.00000000e+00 -1.35233019e-02  1.80920438e-05],1
303,1455,[ 0.         -0.48095576  0.00315894],1
304,730,[ 0.00000000e+00  1.17678342e-02 -2.17605536e-05],1
305,1803,[ 0.00000000e+00 -2.90603935e-03 -8.44846987e-05],1
306,1692,[ 0.00000000e+00 -2.67521215e-03 -1.30447743e-06],1
307,1616,[ 0.00000000e+00  1.20412409e-01 -7.76463780e-05],1
308,2165,[ 0.         -0.05235294  0.00015258],1
309,210,[ 0.00000000e+00  7.05616515e-03 -8.68542190e-06],1
310,1131,[ 0.00000000e+00  2.60045334e-02 -4.91519492e-06],1
311,500,[ 0.         -0.26890331  0.00073084],1
312,994,[ 0.00000000e+00  9.92125261e-02 -6.57776443e-05],1
313,1809,[ 0.         -0.11814003  0.00012889],1
314,1094,[ 0.          0.45430992 -0.0005132 ],1
315,1117,[ 0.00000000e+00  6.20886777e-02 -8.72172638e-05],1
316,253,[ 0.         -0.06379445  0.00012817],1
317,2492,[ 0.00000000e+00  1.54212251e-01 -1.46600041e-04],1
318,128,[ 0.         -0.14863656  0.0002122 ],1
319,1369,[0.00000000e+00 1.39504097e-02 5.02119685e-06],1
320,1161,[ 0.          0.09583263 -0.00012383],1
321,1372,[ 0.         -0.09049224  0.00030416],1
322,1095,[ 0.         -0.2041516   0.00030521],1
323,2111,[ 0.          0.12142053 -0.00017057],1
324,2435,[ 0.          0.27059491 -0.00036392],1
325,813,[0.00000000e+00 5.20568692e-02 3.67999816e-06],1
